expriment_name,metric,step,value
b4_reuse_n5,eval/miou_1.0_class_rider,9775.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,13041.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,16331.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,19629.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,22901.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,22901.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,28296.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,33615.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,38908.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,44268.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,49614.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,55016.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,60548.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,66072.0,0.0
b4_reuse_n5,eval/miou_1.0_class_rider,71688.0,0.0
b4_reuse_n5,eval/miou_1.0_class_road,0.0,0.03498915955424309
b4_reuse_n5,eval/miou_1.0_class_road,3229.0,0.8185896277427673
b4_reuse_n5,eval/miou_1.0_class_road,6515.0,0.8279444575309753
b4_reuse_n5,eval/miou_1.0_class_road,9775.0,0.8339962363243103
b4_reuse_n5,eval/miou_1.0_class_road,13041.0,0.8344370722770691
b4_reuse_n5,eval/miou_1.0_class_road,16331.0,0.8357678651809692
b4_reuse_n5,eval/miou_1.0_class_road,19629.0,0.830756664276123
b4_reuse_n5,eval/miou_1.0_class_road,22901.0,0.8399028182029724
b4_reuse_n5,eval/miou_1.0_class_road,22901.0,0.8399028182029724
b4_reuse_n5,eval/miou_1.0_class_road,28296.0,0.8384583592414856
b4_reuse_n5,eval/miou_1.0_class_road,33615.0,0.8402080535888672
b4_reuse_n5,eval/miou_1.0_class_road,38908.0,0.8405099511146545
b4_reuse_n5,eval/miou_1.0_class_road,44268.0,0.8420917391777039
b4_reuse_n5,eval/miou_1.0_class_road,49614.0,0.8426647782325745
b4_reuse_n5,eval/miou_1.0_class_road,55016.0,0.8421511650085449
b4_reuse_n5,eval/miou_1.0_class_road,60548.0,0.8455154895782471
b4_reuse_n5,eval/miou_1.0_class_road,66072.0,0.8458067178726196
