expriment_name,metric,step,value
m3l_b4_base_2Fint12,eval/miou_1.0_class_rider,128744.0,0.0
m3l_b4_base_2Fint12,eval/miou_1.0_class_rider,154725.0,0.0
m3l_b4_base_2Fint12,eval/miou_1.0_class_rider,180726.0,0.0
m3l_b4_base_2Fint12,eval/miou_1.0_class_rider,206740.0,0.0
m3l_b4_base_2Fint12,eval/miou_1.0_class_rider,232748.0,0.0
m3l_b4_base_2Fint12,eval/miou_1.0_class_rider,250000.0,0.0
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,24469.0,0.8465455174446106
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,50652.0,0.8523609638214111
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,76505.0,0.8555470705032349
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,102716.0,0.8564612865447998
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,128744.0,0.8561800122261047
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,154725.0,0.8587783575057983
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,180726.0,0.8610123991966248
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,206740.0,0.8615277409553528
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,232748.0,0.8606188893318176
m3l_b4_base_2Fint12,eval/miou_1.0_class_road,250000.0,0.8614651560783386
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,24469.0,0.5480220317840576
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,50652.0,0.5573405623435974
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,76505.0,0.5655648112297058
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,102716.0,0.5696601271629333
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,128744.0,0.5711487531661987
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,154725.0,0.5716625452041626
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,180726.0,0.5739462971687317
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,206740.0,0.5754407048225403
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,232748.0,0.5751051902770996
m3l_b4_base_2Fint12,eval/miou_1.0_class_sidewalk,250000.0,0.5747084617614746
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,24469.0,0.15633940696716309
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,50652.0,0.1499062031507492
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,76505.0,0.15129750967025757
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,102716.0,0.1689266711473465
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,128744.0,0.15119978785514832
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,154725.0,0.1513739824295044
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,180726.0,0.15701311826705933
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,206740.0,0.16254137456417084
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,232748.0,0.160493865609169
m3l_b4_base_2Fint12,eval/miou_1.0_class_other-ground,250000.0,0.15527577698230743
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,24469.0,0.7451738715171814
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,50652.0,0.7608774304389954
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,76505.0,0.764640748500824
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,102716.0,0.7678641080856323
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,128744.0,0.7690771222114563
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,154725.0,0.7671963572502136
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,180726.0,0.7664390802383423
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,206740.0,0.7683814167976379
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,232748.0,0.7668667435646057
m3l_b4_base_2Fint12,eval/miou_1.0_class_building,250000.0,0.7688868045806885
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,24469.0,0.1181756854057312
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,50652.0,0.14182299375534058
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,76505.0,0.1440158486366272
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,102716.0,0.13380233943462372
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,128744.0,0.14434361457824707
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,154725.0,0.14705434441566467
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,180726.0,0.1403367668390274
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,206740.0,0.14452703297138214
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,232748.0,0.1419791877269745
m3l_b4_base_2Fint12,eval/miou_1.0_class_object,250000.0,0.14288489520549774
